address,area,city,detail,lat,lng,name,province,street_id,telephone,uid,机构名称
北京市西城区复兴门南大街2号天银大厦B座,西城区,北京市,1,39.910382,116.36456,中国工商银行(分行营业部),北京市,763ef21047603b5f47572683,(010)66410055,763ef21047603b5f47572683,工商银行
北京市西城区地安门外大街31号,西城区,北京市,1,39.944021,116.402148,中国工商银行(鼓楼支行),北京市,fd13a3f2695611fab1077d28,(010)64011349,fd13a3f2695611fab1077d28,工商银行
北京市西城区西便门东里甲1号,西城区,北京市,1,39.904563,116.361429,中国工商银行,北京市,5c210256b7340bcfdfee8ba6,95588,5c210256b7340bcfdfee8ba6,工商银行
北京市西城区,西城区,北京市,1,39.887144,116.394594,中国工商银行,北京市,,,1e43447ae97acbbdbd48427f,工商银行
北京市西城区广内大街306号菜百新世纪商场二层,西城区,北京市,1,39.894774,116.366343,中国工商银行(北京菜百支行),北京市,cead59e69919921f08ccdd0a,(010)63533584,cead59e69919921f08ccdd0a,工商银行
北京市西城区复兴门外大街A2号,西城区,北京市,1,39.912456,116.358008,中国工商银行(北京复外支行),北京市,d82d6697ef5cdfa5d518b716,"(010)68569290,(010)68569287,(010)68569291",d82d6697ef5cdfa5d518b716,工商银行
北京市西城区复兴门内大街55号,西城区,北京市,1,39.913863,116.37119,中国工商银行(北京复内支行),北京市,19466a1543c223d6f02d8329,(010)66107232,19466a1543c223d6f02d8329,工商银行
金融大街7号英蓝国际金融中心2层206,西城区,北京市,1,39.926149,116.364378,中国工商银行(英蓝中心支行),北京市,c8e8f633b4da746cab0dd830,(010)58369216,c8e8f633b4da746cab0dd830,工商银行
北京市西城区西单北大街129号3号楼1-2层及9号楼1-2层,西城区,北京市,1,39.918236,116.379939,中国工商银行(北京西单支行),北京市,b1f28e668e6cec9048cc4aa3,"(010)66037062,(010)66030562",b1f28e668e6cec9048cc4aa3,工商银行
北京市西城区月坛南街26号,西城区,北京市,1,39.919431,116.346924,中国工商银行(北京三里河支行),北京市,d6ee87244a2656e0a8f0cd30,(010)68524551,d6ee87244a2656e0a8f0cd30,工商银行
金融大街甲5号,西城区,北京市,1,39.926375,116.366002,中国工商银行(金融大街),北京市,,95588,679950ffa56680d5b6147f36,工商银行
北京市西城区西单灵境胡同42号兆金大厦首层,西城区,北京市,1,39.920554,116.383822,中国工商银行(北京灵境支行),北京市,504d6113a91c26cd46572670,"(010)66031054,(010)66064157,(010)66038455",504d6113a91c26cd46572670,工商银行
北京市西城区西单北大街6号1层,西城区,北京市,1,39.9244,116.380408,中国工商银行(甘石桥支行),北京市,3e2129492f12a23e60180920,(010)66056819,3e2129492f12a23e60180920,工商银行
