address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
上海市闵行区虹梅路3301号,闵行区,上海市,1,31.19441,121.39306,中国工商银行(华虹支行),上海市,c7fb04bd1f0e3d14fa0cad37,"(021)64052821,(021)64053835,(021)64010553",c7fb04bd1f0e3d14fa0cad37
上海市闵行区东川路2376号,闵行区,上海市,1,31.017957,121.416797,中国工商银行(浦江支行),上海市,887c732142af5f0f8bdb731b,(021)64350159,887c732142af5f0f8bdb731b
上海市闵行区兰坪路544号,闵行区,上海市,1,31.013101,121.42407,中国工商银行(兰坪路支行),上海市,56f2f696674e37810aa8d414,(021)64308751,56f2f696674e37810aa8d414
漕宝路1108号A座1楼,闵行区,上海市,1,31.165948,121.404409,中国工商银行(上海市古美路支行),上海市,d86d46f6a1053a3bd7851f1f,(021)34140681,d86d46f6a1053a3bd7851f1f
上海市闵行区七莘路1832号,闵行区,上海市,1,31.14404,121.368415,中国工商银行(七莘路支行),上海市,fb8add1285acdce5a1d230af,(021)64193978,fb8add1285acdce5a1d230af
闵行区报春路200号近沪闵路(报春路龙茗路),闵行区,上海市,1,31.131527,121.398609,中国工商银行(报春路支行),上海市,61f634f62710df796b49f300,(021)64137467,61f634f62710df796b49f300
闵行区江月路1399号,闵行区,上海市,1,31.08928,121.520154,中国工商银行(浦星路支行),上海市,ffd6d403949e9ef116b54bad,"(021)64291962,(021)64291534,(021)64295163",ffd6d403949e9ef116b54bad
上海市闵行区虹梅南路5696号,闵行区,上海市,1,31.04399,121.463216,中国工商银行(上海市吴泾支行),上海市,667bf9e66b5637c221022062,(021)64503147,667bf9e66b5637c221022062
上海市闵行区宁虹路1175弄23号1层,闵行区,上海市,1,31.214056,121.315105,中国工商银行(上海市新虹支行),上海市,b043e33e29d2592b7ab55cdc,(021)34977210,b043e33e29d2592b7ab55cdc
上海市闵行区古方路76号,闵行区,上海市,1,31.140092,121.407877,中国工商银行(南方商城支行),上海市,ab0244e6e4358331b6f42f64,"(021)24283819,(021)24283867,(021)24283820",ab0244e6e4358331b6f42f64
虹桥路2550号虹桥综合交通枢纽B1层B1-36号,闵行区,上海市,1,31.200229,121.327022,中国工商银行(上海市虹桥枢纽支行),上海市,f3b69ff7f9462eb44d776ecd,(021)51511089,f3b69ff7f9462eb44d776ecd
上海市闵行区颛兴东路1699号,闵行区,上海市,1,31.075484,121.412629,中国工商银行(上海市都市路支行),上海市,7bfaf13c8b21fc0c871541ce,(021)34627997,7bfaf13c8b21fc0c871541ce
