address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
深圳市南山区西丽街道沙河以西留仙大道以北南国丽城花园2栋1F33-39号,南山区,深圳市,1,22.587221,113.964467,中国建设银行(深圳西丽支行),广东省,5e53af1a1f7473224051c0bc,(0755)86155071,5e53af1a1f7473224051c0bc
深圳市南山区创业路西海湾花园B区商铺01号,南山区,深圳市,1,22.520284,113.935856,中国建设银行(深圳南油支行),广东省,11482ccd64719df0100daa40,,11482ccd64719df0100daa40
深圳市南山区科技园科发路8号金融基地一栋首层,南山区,深圳市,1,22.549383,113.953728,中国建设银行(深圳科苑支行),广东省,c267f0d8fc70354d72455b50,"(0755)26613838,(0755)86627155",c267f0d8fc70354d72455b50
深圳市南山区前海路与学府路交汇处新德家园一楼,南山区,深圳市,1,22.535603,113.921205,中国建设银行(深圳前海支行),广东省,61085211b27468a1c51b7577,"(0755)86672555,(0755)86672522",61085211b27468a1c51b7577
深圳市南山区蛇口太子璐18号海景广场一楼,南山区,深圳市,1,22.489012,113.921442,中国建设银行(深圳蛇口支行),广东省,9ee7cc7832c6ff0d17c90587,(0755)26826276,9ee7cc7832c6ff0d17c90587
深圳市南山区关口路1号,南山区,深圳市,1,22.543143,113.926034,中国建设银行(深圳南新支行),广东省,746016445ed24541b24c49e1,,746016445ed24541b24c49e1
广东省深圳市南山区高新南七道惠恒大楼1层,南山区,深圳市,1,22.540053,113.954115,中国建设银行(深圳科苑南支行),广东省,7606b8bc7cab70942ce67ba7,"(0755)26584776,(0755)26938004",7606b8bc7cab70942ce67ba7
深圳市南山区高新南一道中国科技开发院研发园3号楼裙楼,南山区,深圳市,1,22.544302,113.95901,中国建设银行(高新园支行),广东省,08f1f1f590a82fca88db7377,"(0755)26995026,(0755)26995247,(0755)26995632,(0755)86079257",08f1f1f590a82fca88db7377
深圳市南山区华侨城兴隆街22号湖滨花园一楼,南山区,深圳市,1,22.5425,113.990991,中国建设银行(深圳华侨城支行),广东省,bb1d38e4dd5adb4d0c0a7077,(0755)26922082,bb1d38e4dd5adb4d0c0a7077
深圳市南山区海岸城文心四路天利名城2楼,南山区,深圳市,1,22.524166,113.942328,中国建设银行(深圳南山支行),广东省,11cb8b32bfbd443216c90585,,11cb8b32bfbd443216c90585
科兴科学园B栋G层16B,南山区,深圳市,1,22.554308,113.950171,中国建设银行(科兴微银行),广东省,2243af8d538067885b1093ee,(0755)86533595,2243af8d538067885b1093ee
深圳市南山区桃园路田厦国际中心1层,南山区,深圳市,1,22.538592,113.933712,中国建设银行(南山大道支行),广东省,c0c39ec158ea0a064c6d46c6,(0755)26568883,c0c39ec158ea0a064c6d46c6
深圳市南山区乌石头路8号天明科技大厦附楼一层,南山区,深圳市,1,22.560494,113.956653,中国建设银行(南山科技支行),广东省,a223709f843c94f509a8d4fe,(0755)86954310,7e22af7f84e947419d9d6898
深圳市南山区中心路深圳湾1号T1-19楼深圳湾1号南区F2,南山区,深圳市,1,22.511378,113.949956,中国建设银行(深湾壹号支行),广东省,,,1226a7c223a2963d2cb17ef1
南光路65-9号,南山区,深圳市,1,22.526816,113.933596,中国建设银行(鸿瑞支行),广东省,38e48037549c2249373a7177,(0755)26057342,38e48037549c2249373a7177
广东省深圳市南山区学苑大道南侧水木丹华园126号商铺,南山区,深圳市,1,22.598434,113.996451,中国建设银行(深圳水木丹华支行),广东省,,,e389dba3e0b9ffe8132935af
深圳市南山区蛇口公园路四海宜家大厦一楼,南山区,深圳市,1,22.49886,113.930932,中国建设银行(招商支行),广东省,eeb22377677cef15882fb5a8,(0755)26681063,eeb22377677cef15882fb5a8
蓝天路8号后海公馆1号楼101-103A,南山区,深圳市,1,22.496695,113.944855,中国建设银行(后海公馆支行),广东省,ffb2306843f31c4b4afd3f03,"(0755)26821015,(0755)26824722",ffb2306843f31c4b4afd3f03
广东省深圳市南山区公园路94-2号,南山区,深圳市,1,22.504109,113.931411,中国建设银行(玫瑰园微银行),广东省,,,d0dbb111604ef7c4f503b8b1
深圳市南山区白石洲沙河街建行大厦一楼,南山区,深圳市,1,22.546811,113.974623,中国建设银行(深圳沙河支行),广东省,00586108337c01a546e27477,(0755)26765746,00586108337c01a546e27477
深圳市南山区香山西街18-27号,南山区,深圳市,1,22.55606,113.980708,中国建设银行(深圳侨城西支行),广东省,948635df0451e126ca29159f,(0755)86518200,948635df0451e126ca29159f
广东省深圳市南山区大勘商业街68-7号,南山区,深圳市,1,22.625694,113.981243,中国建设银行(西丽大磡村支行),广东省,dcf2b661c5fc4a62b05c6a08,(0755)86541087,dcf2b661c5fc4a62b05c6a08
广东省深圳市南山区白石路2222号沙河世纪楼一楼,南山区,深圳市,1,22.537407,113.972948,中国建设银行(深圳深圳湾支行),广东省,547222f3ef821e0fc17da285,(0755)26932252,547222f3ef821e0fc17da285
前海桂湾三路龙海家园B座070A,南山区,深圳市,1,22.540827,113.912208,中国建设银行(龙海家园微支行),广东省,,(0755)86672598,ee1aee4cd6fa9bcfd0ff239e
南新路228号,南山区,深圳市,1,22.531287,113.926568,中国建设银行atm,广东省,1a4267ca3ebe8e1ec16c1478,,1a4267ca3ebe8e1ec16c1478
