address,area,city,detail,lat,lng,name,province,street_id,telephone,uid,机构名称
北京市平谷区文化南街19号,平谷区,北京市,1,40.140762,117.117704,中国建设银行(平谷支行),北京市,925c550fe54164b15a3ac82a,(010)69961711,925c550fe54164b15a3ac82a,建设银行
东交路与金河北街交叉口西南50米,平谷区,北京市,1,40.068279,117.018928,中国建设银行(马坊支行),北京市,,95533,bc2928dba4810be8b35c6a9c,建设银行
北京市平谷区兴谷街道谷丰路39号4-1至4-2腾龙源城西门,平谷区,北京市,1,40.162646,117.117954,中国建设银行(平谷兴谷支行),北京市,,(010)57931067,b279ad4d04a96e219cf7791c,建设银行
北京市平谷区新开街26号,平谷区,北京市,1,40.148485,117.121858,中国建设银行(平谷新开街支行),北京市,4642844a21d904d9c9fa5fc9,"(010)69962145,(010)69961381",4642844a21d904d9c9fa5fc9,建设银行
北京市平谷区平谷镇新平北路55楼10号,平谷区,北京市,1,40.152373,117.114128,中国建设银行(北京平谷伊园支行),北京市,dffd4642d19db0b23c9a5ec9,(010)69962873,dffd4642d19db0b23c9a5ec9,建设银行
大华山西峪甲1号,平谷区,北京市,1,40.317284,117.108012,中国建设银行ATM(平关路),北京市,,,56bd1c8e0eca773ea8175ae0,建设银行
平谷大街北50米,平谷区,北京市,1,40.164843,117.142839,中国建设银行ATM(平谷大街),北京市,,,6cfc93811da89d5f13293507,建设银行
北京市平谷区文化南街19,平谷区,北京市,1,40.140771,117.117896,中国建设银行24小时自助银行服务(北京平谷支行),北京市,233080449d1f3cf723f01719,,233080449d1f3cf723f01719,建设银行
北京市平谷区平谷镇太安街世纪隆购物中心,平谷区,北京市,1,40.153288,117.121509,中国建设银行24小时自助银行(金乡嘉园东),北京市,d2441b2bbc1b5bc1dc1e520f,,d2441b2bbc1b5bc1dc1e520f,建设银行
兴谷街道谷丰路39号4-1至4-2腾龙源城西门附近,平谷区,北京市,1,40.162733,117.117957,中国建设银行24小时自助银行(北京平谷兴谷支行),北京市,d18f69ff4bd95e0b4d2fdfed,,d18f69ff4bd95e0b4d2fdfed,建设银行
新平北路55号,平谷区,北京市,1,40.152357,117.114052,中国建设银行24小时自助银行(北京平谷伊园支行),北京市,9e90494087c553e3601c679a,,9e90494087c553e3601c679a,建设银行
