address,area,city,detail,lat,lng,name,province,street_id,uid,机构名称
北京市东城区东兴隆街56号北京·商界A段1层,东城区,北京市,1,39.903355,116.420918,交通银行(北京崇文门支行),北京市,750ec1656502592b4d3a5999,750ec1656502592b4d3a5999,交通银行
北京市东城区安乐林路10,东城区,北京市,1,39.871337,116.419912,交通银行ATM(北京京坛医院西),北京市,6b7e583a572ad6dc2fe67bba,6b7e583a572ad6dc2fe67bba,交通银行
建国门内大街17号好苑建国酒店1层,东城区,北京市,1,39.915675,116.42981,交通银行ATM(好苑建国酒店),北京市,,b5ed4053d1552c80c4f0251f,交通银行
北京市东城区中新街68,东城区,北京市,1,39.935926,116.447132,交通银行24小时自助银行(工人体育场南路),北京市,593850fb96942723df1e5273,593850fb96942723df1e5273,交通银行
金宝街61号鑫海锦江大酒店1层,东城区,北京市,1,39.921861,116.43221,交通银行24小时自助银行(金宝街),北京市,16d191a12eef5366c5effbcd,16d191a12eef5366c5effbcd,交通银行
东直门外大街48号银座百货L1层,东城区,北京市,1,39.946263,116.442041,交通银行24小时自助银行服务(银座百货),北京市,49de1b6a01594c50882fb5bb,49de1b6a01594c50882fb5bb,交通银行
东城区东单北大街乙112号,东城区,北京市,1,39.916728,116.424703,交通银行24小时自助银行服务(北京东单北大街支行),北京市,9dae0bcc50a36539f33cba7e,9dae0bcc50a36539f33cba7e,交通银行
和平里北街18号,东城区,北京市,1,39.965174,116.42033,交通银行24小时自助银行服务(和平里医院店),北京市,8e3a8a2f35bae1174f6d4691,8e3a8a2f35bae1174f6d4691,交通银行
北京市东城区王府井大街301号新燕莎金街购物广场,东城区,北京市,1,39.915724,116.417406,交通银行ATM(新燕莎金街购物广场),北京市,5f5a4581ab7ce21a38221cd6,5f5a4581ab7ce21a38221cd6,交通银行
北京市东城区和平里西街51号雍和壹中心B7,东城区,北京市,1,39.959168,116.426006,交通银行信用卡中心北京分中心,北京市,,9b9f2d885806f6dff6eafcee,交通银行
北京市东城区王府井大街200号北京工美集团工美大厦1层,东城区,北京市,1,39.91722,116.418124,交通银行24小时自助银行(王府井支行),北京市,64ff3be1d3fc0fc591114cbd,64ff3be1d3fc0fc591114cbd,交通银行
大雅宝胡同8,东城区,北京市,1,39.921252,116.438835,交通银行24小时自助银行(东单支行),北京市,aec88894579bc6781c389461,aec88894579bc6781c389461,交通银行
天坛东里北区12,东城区,北京市,1,39.885149,116.427121,交通银行24小时自助银行(天坛支行),北京市,bba8738847faa5a0bda82299,bba8738847faa5a0bda82299,交通银行
兴化路11-1,东城区,北京市,1,39.968088,116.419328,交通银行24小时自助银行服务(北京兴化路支行),北京市,bdccd509482a7bb346e27421,bdccd509482a7bb346e27421,交通银行
东城区和平里东街民旺园31号楼1层,东城区,北京市,1,39.959088,116.432157,交通银行24小时自助银行(北京和平里东街支行),北京市,b0d2f45c1492d3dd07026f69,b0d2f45c1492d3dd07026f69,交通银行
北京市东城区东兴隆街56号,东城区,北京市,1,39.903355,116.420978,交通银行24小时自助银行(北京崇文门支行),北京市,34089a199f1299d501ec01a9,adb8b7e2635383c9f4e73b87,交通银行
